GO_ID,Description,Category,Count,Bg_Count,GeneRatio,BgRatio,RichFactor,P_value,Gene_List,FDR
GO:0043139,5'-3' DNA helicase activity,MF,1,1,1/77,1/10045,1,0.007665505,TGAM01_v210605,0.057970383
GO:0004122,cystathionine beta-synthase activity,MF,1,1,1/77,1/10045,1,0.007665505,TGAM01_v201368,0.057970383
GO:0016040,glutamate synthase (NADH) activity,MF,1,1,1/77,1/10045,1,0.007665505,TGAM01_v208340,0.057970383
GO:0015930,glutamate synthase activity,MF,1,1,1/77,1/10045,1,0.007665505,TGAM01_v208340,0.057970383
GO:0004164,diphthine synthase activity,MF,1,1,1/77,1/10045,1,0.007665505,TGAM01_v209791,0.057970383
GO:0016639,"oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor",MF,1,2,1/77,2/10045,0.5,0.015273008,TGAM01_v208340,0.078526536
GO:0016638,"oxidoreductase activity, acting on the CH-NH2 group of donors",MF,1,2,1/77,2/10045,0.5,0.015273008,TGAM01_v208340,0.078526536
GO:0004930,G protein-coupled receptor activity,MF,1,2,1/77,2/10045,0.5,0.015273008,TGAM01_v204086,0.078526536
GO:0070615,ATP-dependent chromatin remodeler activity,MF,2,28,2/77,28/10045,0.071428571,0.019274196,TGAM01_v201803;TGAM01_v210155,0.078526536
GO:0015035,protein-disulfide reductase activity,MF,1,3,1/77,3/10045,0.333333333,0.022822941,TGAM01_v202869,0.078526536
GO:0032549,ribonucleoside binding,MF,1,3,1/77,3/10045,0.333333333,0.022822941,TGAM01_v206650,0.078526536
GO:0016972,thiol oxidase activity,MF,1,3,1/77,3/10045,0.333333333,0.022822941,TGAM01_v202869,0.078526536
GO:0004396,hexokinase activity,MF,1,4,1/77,4/10045,0.25,0.030315735,TGAM01_v208702,0.087338188
GO:0005536,D-glucose binding,MF,1,4,1/77,4/10045,0.25,0.030315735,TGAM01_v208702,0.087338188
GO:0030234,enzyme regulator activity,MF,1,5,1/77,5/10045,0.2,0.037751815,TGAM01_v200335,0.091359393
GO:0004888,transmembrane signaling receptor activity,MF,1,5,1/77,5/10045,0.2,0.037751815,TGAM01_v204086,0.091359393
GO:0004523,RNA-DNA hybrid ribonuclease activity,MF,1,5,1/77,5/10045,0.2,0.037751815,TGAM01_v208324,0.091359393
GO:0008318,protein prenyltransferase activity,MF,1,6,1/77,6/10045,0.166666667,0.045131607,TGAM01_v208197,0.103036311
GO:0016746,acyltransferase activity,MF,2,46,2/77,46/10045,0.043478261,0.048324899,TGAM01_v204668;TGAM01_v210255,0.108283569
GO:0046933,"proton-transporting ATP synthase activity, rotational mechanism",MF,1,7,1/77,7/10045,0.142857143,0.052455531,TGAM01_v201166,0.113341414
GO:0004100,chitin synthase activity,MF,1,8,1/77,8/10045,0.125,0.059724003,TGAM01_v202830,0.120443406
GO:0005198,structural molecule activity,MF,1,9,1/77,9/10045,0.111111111,0.066937438,TGAM01_v208457,0.128562382
GO:0042626,ATPase-coupled transmembrane transporter activity,MF,1,10,1/77,10/10045,0.1,0.074096248,TGAM01_v202388,0.133815613
GO:0003682,chromatin binding,MF,1,10,1/77,10/10045,0.1,0.074096248,TGAM01_v208750,0.133815613
GO:0003678,DNA helicase activity,MF,1,12,1/77,12/10045,0.083333333,0.088251622,TGAM01_v210605,0.157035975
GO:0016773,"phosphotransferase activity, alcohol group as acceptor",MF,1,14,1/77,14/10045,0.071428571,0.102193354,TGAM01_v208702,0.171741609
GO:0061630,ubiquitin protein ligase activity,MF,1,14,1/77,14/10045,0.071428571,0.102193354,TGAM01_v202514,0.171741609
GO:0016758,hexosyltransferase activity,MF,1,14,1/77,14/10045,0.071428571,0.102193354,TGAM01_v202830,0.171741609
GO:0004315,3-oxoacyl-[acyl-carrier-protein] synthase activity,MF,1,17,1/77,17/10045,0.058823529,0.122712323,TGAM01_v204668,0.200651231
GO:0016301,kinase activity,MF,1,18,1/77,18/10045,0.055555556,0.129448577,TGAM01_v205098,0.20609576
GO:0003899,DNA-directed RNA polymerase activity,MF,1,18,1/77,18/10045,0.055555556,0.129448577,TGAM01_v206650,0.20609576
GO:0051082,unfolded protein binding,MF,1,19,1/77,19/10045,0.052631579,0.136133773,TGAM01_v203210,0.211181878
GO:0008061,chitin binding,MF,1,19,1/77,19/10045,0.052631579,0.136133773,TGAM01_v200328,0.211181878
GO:0016829,lyase activity,MF,1,20,1/77,20/10045,0.05,0.142768293,TGAM01_v203339,0.218670423
GO:0030248,cellulose binding,MF,1,22,1/77,22/10045,0.045454545,0.15588682,TGAM01_v208263,0.227256689
GO:0051536,iron-sulfur cluster binding,MF,1,22,1/77,22/10045,0.045454545,0.15588682,TGAM01_v208340,0.227256689
GO:0004674,protein serine/threonine kinase activity,MF,1,24,1/77,24/10045,0.041666667,0.168807157,TGAM01_v205164,0.240301953
GO:0004842,ubiquitin-protein transferase activity,MF,1,24,1/77,24/10045,0.041666667,0.168807157,TGAM01_v202514,0.240301953
GO:0031177,phosphopantetheine binding,MF,1,27,1/77,27/10045,0.037037037,0.18782251,TGAM01_v204668,0.26122441
GO:0008237,metallopeptidase activity,MF,1,27,1/77,27/10045,0.037037037,0.18782251,TGAM01_v203971,0.26122441
GO:0030246,carbohydrate binding,MF,1,28,1/77,28/10045,0.035714286,0.19406504,TGAM01_v203339,0.26683943
GO:0016740,transferase activity,MF,1,34,1/77,34/10045,0.029411765,0.230537925,TGAM01_v204668,0.306539439
GO:0003824,catalytic activity,MF,6,545,6/77,545/10045,0.011009174,0.23883572,TGAM01_v201007;TGAM01_v202202;TGAM01_v203339;TGAM01_v207983;TGAM01_v208324;TGAM01_v208340,0.314120892
GO:0005509,calcium ion binding,MF,1,40,1/77,40/10045,0.025,0.265380691,TGAM01_v203210,0.338011196
GO:0010181,FMN binding,MF,1,40,1/77,40/10045,0.025,0.265380691,TGAM01_v208340,0.338011196
GO:0003677,DNA binding,MF,4,353,4/77,353/10045,0.011331445,0.285731672,TGAM01_v200590;TGAM01_v200747;TGAM01_v206650;TGAM01_v206950,0.360140962
GO:0008168,methyltransferase activity,MF,1,50,1/77,50/10045,0.02,0.320023451,TGAM01_v209791,0.390329955
GO:0005524,ATP binding,MF,5,512,5/77,512/10045,0.009765625,0.355929804,TGAM01_v201803;TGAM01_v205164;TGAM01_v208702;TGAM01_v210155;TGAM01_v210605,0.426410954
GO:0008236,serine-type peptidase activity,MF,1,58,1/77,58/10045,0.017241379,0.36083214,TGAM01_v208589,0.42804597
GO:0004252,serine-type endopeptidase activity,MF,1,60,1/77,60/10045,0.016666667,0.370650633,TGAM01_v208589,0.43542453
GO:0008270,zinc ion binding,MF,5,536,5/77,536/10045,0.009328358,0.392975047,TGAM01_v200590;TGAM01_v203971;TGAM01_v206950;TGAM01_v207056;TGAM01_v208112,0.457211353
GO:0005515,protein binding,MF,6,730,6/77,730/10045,0.008219178,0.491594872,TGAM01_v200017;TGAM01_v202514;TGAM01_v203210;TGAM01_v204090;TGAM01_v207983;TGAM01_v208589,0.561160184
GO:0071949,FAD binding,MF,1,92,1/77,92/10045,0.010869565,0.508936668,TGAM01_v202869,0.574453898
GO:0005506,iron ion binding,MF,1,93,1/77,93/10045,0.010752688,0.512735711,TGAM01_v208340,0.574453898
GO:0022857,transmembrane transporter activity,MF,3,367,3/77,367/10045,0.008174387,0.538017306,TGAM01_v200084;TGAM01_v207681;TGAM01_v208390,0.591819036
GO:0050660,flavin adenine dinucleotide binding,MF,1,104,1/77,104/10045,0.009615385,0.552657705,TGAM01_v208340,0.59917091
GO:0004672,protein kinase activity,MF,1,114,1/77,114/10045,0.00877193,0.586138999,TGAM01_v205164,0.62212999
GO:0004553,"hydrolase activity, hydrolyzing O-glycosyl compounds",MF,1,121,1/77,121/10045,0.008264463,0.608091794,TGAM01_v207478,0.639818323
GO:0016491,oxidoreductase activity,MF,4,589,4/77,589/10045,0.006791171,0.668883785,TGAM01_v206032;TGAM01_v206060;TGAM01_v206950;TGAM01_v208340,0.685889305
GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific",MF,2,345,2/77,345/10045,0.005797101,0.747665727,TGAM01_v200590;TGAM01_v208112,0.760231538
GO:0003676,nucleic acid binding,MF,1,214,1/77,214/10045,0.004672897,0.810718064,TGAM01_v208324,0.810718064
GO:0005681,spliceosomal complex,CC,2,11,2/77,11/10045,0.181818182,0.00305032,TGAM01_v204834;TGAM01_v207061,0.057970383
GO:0005783,endoplasmic reticulum,CC,2,12,2/77,12/10045,0.166666667,0.003642252,TGAM01_v202869;TGAM01_v203210,0.057970383
GO:0097255,R2TP complex,CC,1,1,1/77,1/10045,1,0.007665505,TGAM01_v210605,0.057970383
GO:0005674,transcription factor TFIIF complex,CC,1,1,1/77,1/10045,1,0.007665505,TGAM01_v207572,0.057970383
GO:0016471,vacuolar proton-transporting V-type ATPase complex,CC,1,1,1/77,1/10045,1,0.007665505,TGAM01_v202388,0.057970383
GO:0005968,Rab-protein geranylgeranyltransferase complex,CC,1,1,1/77,1/10045,1,0.007665505,TGAM01_v208197,0.057970383
GO:0000127,transcription factor TFIIIC complex,CC,1,2,1/77,2/10045,0.5,0.015273008,TGAM01_v200747,0.078526536
GO:0030015,CCR4-NOT core complex,CC,1,2,1/77,2/10045,0.5,0.015273008,TGAM01_v201006,0.078526536
GO:0000502,proteasome complex,CC,1,3,1/77,3/10045,0.333333333,0.022822941,TGAM01_v200335,0.078526536
GO:0035267,NuA4 histone acetyltransferase complex,CC,1,4,1/77,4/10045,0.25,0.030315735,TGAM01_v210605,0.087338188
GO:0030126,COPI vesicle coat,CC,1,5,1/77,5/10045,0.2,0.037751815,TGAM01_v208457,0.091359393
GO:0005576,extracellular region,CC,2,44,2/77,44/10045,0.045454545,0.044601759,TGAM01_v203339;TGAM01_v208263,0.103036311
GO:0031011,Ino80 complex,CC,1,8,1/77,8/10045,0.125,0.059724003,TGAM01_v210605,0.120443406
GO:0030117,membrane coat,CC,1,10,1/77,10/10045,0.1,0.074096248,TGAM01_v208457,0.133815613
GO:0005634,nucleus,CC,2,112,2/77,112/10045,0.017857143,0.211875121,TGAM01_v206650;TGAM01_v210150,0.28805494
GO:0005737,cytoplasm,CC,1,96,1/77,96/10045,0.010416667,0.523959642,TGAM01_v201368,0.581643272
GO:0016021,membrane,CC,5,667,5/77,667/10045,0.007978723,0.554604478,TGAM01_v204086;TGAM01_v207776;TGAM01_v208054;TGAM01_v207681;TGAM01_v208390,0.59917091
GO:0019343,L-cysteine biosynthetic process via L-cystathionine,BP,1,1,1/77,1/10045,1,0.007665505,TGAM01_v201368,0.057970383
GO:0000209,protein polyubiquitination,BP,1,1,1/77,1/10045,1,0.007665505,TGAM01_v202514,0.057970383
GO:0140053,mitochondrial gene expression,BP,1,1,1/77,1/10045,1,0.007665505,TGAM01_v209680,0.057970383
GO:0010468,regulation of gene expression,BP,1,1,1/77,1/10045,1,0.007665505,TGAM01_v208750,0.057970383
GO:0034975,protein folding in endoplasmic reticulum,BP,1,1,1/77,1/10045,1,0.007665505,TGAM01_v202869,0.057970383
GO:0006417,regulation of translation,BP,1,2,1/77,2/10045,0.5,0.015273008,TGAM01_v201006,0.078526536
GO:0018344,protein geranylgeranylation,BP,1,2,1/77,2/10045,0.5,0.015273008,TGAM01_v208197,0.078526536
GO:0042176,regulation of protein catabolic process,BP,1,3,1/77,3/10045,0.333333333,0.022822941,TGAM01_v200335,0.078526536
GO:0048015,phosphatidylinositol-mediated signaling,BP,1,3,1/77,3/10045,0.333333333,0.022822941,TGAM01_v205098,0.078526536
GO:0006384,transcription initiation at RNA polymerase III promoter,BP,1,3,1/77,3/10045,0.333333333,0.022822941,TGAM01_v200747,0.078526536
GO:0018342,protein prenylation,BP,1,3,1/77,3/10045,0.333333333,0.022822941,TGAM01_v208197,0.078526536
GO:0006031,chitin biosynthetic process,BP,1,3,1/77,3/10045,0.333333333,0.022822941,TGAM01_v202830,0.078526536
GO:0006623,protein targeting to vacuole,BP,1,3,1/77,3/10045,0.333333333,0.022822941,TGAM01_v200017,0.078526536
GO:0006857,oligopeptide transport,BP,1,3,1/77,3/10045,0.333333333,0.022822941,TGAM01_v207681,0.078526536
GO:0000398,"mRNA splicing, via spliceosome",BP,2,31,2/77,31/10045,0.064516129,0.023363267,TGAM01_v204834;TGAM01_v207061,0.078526536
GO:0001678,intracellular glucose homeostasis,BP,1,4,1/77,4/10045,0.25,0.030315735,TGAM01_v208702,0.087338188
GO:0006535,L-cysteine biosynthetic process from L-serine,BP,1,4,1/77,4/10045,0.25,0.030315735,TGAM01_v201368,0.087338188
GO:0017183,protein histidyl modification to diphthamide,BP,1,4,1/77,4/10045,0.25,0.030315735,TGAM01_v209791,0.087338188
GO:0005975,carbohydrate metabolic process,BP,5,238,5/77,238/10045,0.021008403,0.035652798,TGAM01_v200328;TGAM01_v203339;TGAM01_v207478;TGAM01_v208263;TGAM01_v208702,0.091359393
GO:0005992,trehalose biosynthetic process,BP,1,5,1/77,5/10045,0.2,0.037751815,TGAM01_v202202,0.091359393
GO:0007166,cell surface receptor signaling pathway,BP,1,5,1/77,5/10045,0.2,0.037751815,TGAM01_v204086,0.091359393
GO:0046854,phosphatidylinositol phosphate biosynthetic process,BP,1,5,1/77,5/10045,0.2,0.037751815,TGAM01_v205098,0.091359393
GO:0006366,transcription by RNA polymerase II,BP,1,6,1/77,6/10045,0.166666667,0.045131607,TGAM01_v207572,0.103036311
GO:0006488,dolichol-linked oligosaccharide biosynthetic process,BP,1,7,1/77,7/10045,0.142857143,0.052455531,TGAM01_v208054,0.113341414
GO:0007186,G protein-coupled receptor signaling pathway,BP,1,8,1/77,8/10045,0.125,0.059724003,TGAM01_v204086,0.120443406
GO:0045292,"mRNA cis splicing, via spliceosome",BP,1,8,1/77,8/10045,0.125,0.059724003,TGAM01_v205164,0.120443406
GO:0009058,biosynthetic process,BP,2,54,2/77,54/10045,0.037037037,0.064268819,TGAM01_v201007;TGAM01_v204668,0.127484051
GO:0006914,autophagy,BP,1,9,1/77,9/10045,0.111111111,0.066937438,TGAM01_v203072,0.128562382
GO:0006367,transcription initiation at RNA polymerase II promoter,BP,1,10,1/77,10/10045,0.1,0.074096248,TGAM01_v207572,0.133815613
GO:0015986,proton motive force-driven ATP synthesis,BP,1,14,1/77,14/10045,0.071428571,0.102193354,TGAM01_v201166,0.171741609
GO:0042254,ribosome biogenesis,BP,1,15,1/77,15/10045,0.066666667,0.109085101,TGAM01_v210150,0.18081229
GO:0006633,fatty acid biosynthetic process,BP,1,21,1/77,21/10045,0.047619048,0.149352516,TGAM01_v204668,0.225895681
GO:1902600,proton transmembrane transport,BP,1,22,1/77,22/10045,0.045454545,0.15588682,TGAM01_v202388,0.227256689
GO:0006457,protein folding,BP,1,33,1/77,33/10045,0.03030303,0.224574304,TGAM01_v203210,0.301927675
GO:0006351,DNA-templated transcription,BP,3,231,3/77,231/10045,0.012987013,0.260561806,TGAM01_v200590;TGAM01_v206650;TGAM01_v206950,0.338011196
GO:0016192,vesicle-mediated transport,BP,1,49,1/77,49/10045,0.020408163,0.314744875,TGAM01_v208457,0.390329955
GO:0006886,intracellular protein transport,BP,1,50,1/77,50/10045,0.02,0.320023451,TGAM01_v208457,0.390329955
GO:0006508,proteolysis,BP,2,151,2/77,151/10045,0.013245033,0.32258674,TGAM01_v203971;TGAM01_v208589,0.390329955
GO:0009116,nucleoside metabolic process,BP,1,71,1/77,71/10045,0.014084507,0.422049809,TGAM01_v207983,0.486362161
GO:0006468,protein phosphorylation,BP,1,114,1/77,114/10045,0.00877193,0.586138999,TGAM01_v205164,0.62212999
GO:0006355,regulation of DNA-templated transcription,BP,3,441,3/77,441/10045,0.006802721,0.663526662,TGAM01_v200590;TGAM01_v207056;TGAM01_v208112,0.685889305
GO:0055085,transmembrane transport,BP,3,517,3/77,517/10045,0.005802708,0.765254733,TGAM01_v200084;TGAM01_v207681;TGAM01_v208390,0.771631855
